Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G279.44174.598,186.625,12.875,25,0.9124664664268494,SZ_G279.41+74.56,,
ComPACT_G317.547-83.894,11.025,-33.025,22,0.9371362328529358,SZ_G317.56-83.97,,
ComPACT_G357.82944.262,228.775,-2.76667,35,0.976186752319336,SZ_G357.81+44.25,,
ComPACT_G186.428-17.853,74.15,13.78333,42,0.9979730248451232,SZ_G186.37-17.88,,
ComPACT_G212.115-25.554,79.49167,-10.675,25,0.982452392578125,SZ_G212.10-25.57,,
ComPACT_G307.225-78.743,11.79167,-38.35,45,0.9787968397140504,SZ_G307.38-78.79,,
ComPACT_G9.98454.506,225.71667,9.775,39,0.9355376958847046,SZ_G010.04+54.53,,
ComPACT_G101.436-59.794,2.23333,1.29167,44,0.9962474703788756,SZ_G101.47-59.82,ACT-CL J0008.8+0117,
ComPACT_G32.86542.323,243.81667,17.83333,21,0.8705512285232544,SZ_G032.83+42.34,,
ComPACT_G89.695-74.570,4.21667,-13.975,42,0.993803858757019,SZ_G089.93-74.58,,
ComPACT_G155.269-80.969,17.96667,-19.40833,27,0.9905495047569276,SZ_G155.34-80.94,,
ComPACT_G222.43915.712,121.13333,-1.03333,30,0.9953125715255736,SZ_G222.45+15.69,,
ComPACT_G9.22243.767,234.33333,3.26667,26,0.9428765773773192,SZ_G009.21+43.80,,
ComPACT_G167.635-31.985,51.5,17.15833,29,0.997500479221344,SZ_G167.59-32.00,ACT-CL J0325.9+1709,
ComPACT_G277.683-60.849,32.68333,-52.21667,21,0.959560215473175,SZ_G277.61-60.91,,
ComPACT_G237.00363.322,167.85,14.15,45,0.9929749965667723,SZ_G236.90+63.33,ACT-CL J1111.3+1409,
ComPACT_G347.93961.608,212.61667,5.85,30,0.8869075179100037,SZ_G347.87+61.66,,
ComPACT_G280.90157.888,181.34167,-3.0,28,0.9653321504592896,SZ_G280.99+57.88,,
ComPACT_G172.160-35.779,51.74167,11.825,45,0.996729850769043,SZ_G172.20-35.78,,
ComPACT_G212.21026.637,126.64167,12.38333,27,0.9699364900588988,SZ_G212.15+26.65,,
ComPACT_G348.740-54.101,334.675,-47.15,22,0.9705055952072144,SZ_G348.63-54.08,,
ComPACT_G86.842-65.382,358.55833,-6.6,23,0.9631915092468262,SZ_G086.77-65.32,,
ComPACT_G2.296-18.077,286.725,-34.93333,27,0.8664308786392212,SZ_G002.24-18.03,,
ComPACT_G36.34033.147,253.825,17.075,28,0.9843028783798218,SZ_G036.32+33.20,,
ComPACT_G196.619-31.522,67.78333,-1.45,24,0.932454228401184,SZ_G196.57-31.54,,
ComPACT_G216.05440.240,140.78333,14.925,31,0.9553239345550536,SZ_G216.15+40.23,,
ComPACT_G142.432-56.962,23.375,4.30833,39,0.9686527252197266,SZ_G142.43-57.02,,
ComPACT_G70.747-23.193,322.775,18.78333,50,0.9668452143669128,SZ_G070.69-23.16,,
ComPACT_G308.17673.677,194.35833,10.86667,75,0.9715760350227356,SZ_G308.44+73.66,,
ComPACT_G290.32463.744,187.31667,1.41667,21,0.8400514125823975,SZ_G290.35+63.75,,
ComPACT_G31.21944.791,240.95,17.6,23,0.8164842128753662,SZ_G031.19+44.77,,
ComPACT_G110.756-55.933,6.03333,6.29167,31,0.9960753321647644,SZ_G110.75-55.97,,
ComPACT_G223.738-36.029,73.09167,-23.775,21,0.9578892588615416,SZ_G223.77-36.08,,
ComPACT_G63.910-21.567,317.23333,14.975,31,0.9645254611968994,SZ_G063.94-21.52,,
ComPACT_G111.326-44.320,4.16667,17.76667,28,0.9103334546089172,SZ_G111.31-44.28,,
ComPACT_G307.502-72.987,11.0,-44.075,88,0.9400246739387512,SZ_G307.39-72.92,,
ComPACT_G221.15255.791,157.1,17.79167,30,0.8994754552841187,SZ_G221.10+55.75,,
ComPACT_G329.329-52.801,342.66667,-57.69167,21,0.9158523678779602,SZ_G329.33-52.78,,
ComPACT_G66.398-28.537,324.25833,12.31667,61,0.9158858060836792,SZ_G066.47-28.50,,
ComPACT_G11.47836.221,241.525,0.39167,22,0.9737499952316284,SZ_G011.56+36.22,,
ComPACT_G43.008-37.781,320.875,-8.99167,30,0.9880164265632628,SZ_G043.02-37.85,,
ComPACT_G138.886-42.432,25.24167,18.9,39,0.992997407913208,SZ_G138.92-42.49,ACT-CL J0140.8+1853,
ComPACT_G228.172-24.375,86.49167,-23.65833,21,0.9651101231575012,SZ_G228.21-24.44,,
ComPACT_G218.76527.359,129.85833,7.425,26,0.9668723940849304,SZ_G218.80+27.30,,
ComPACT_G252.97160.890,170.825,6.88333,23,0.9425063133239746,SZ_G253.06+60.86,,
ComPACT_G268.705-81.673,18.49167,-33.9,45,0.881912887096405,SZ_G268.88-81.72,,
ComPACT_G270.66774.077,184.2,13.41667,25,0.9216313362121582,SZ_G270.45+74.10,,
ComPACT_G149.681-47.962,30.75,11.15833,21,0.924360454082489,SZ_G149.71-47.90,,
ComPACT_G341.13156.349,212.9,-0.45833,23,0.818891704082489,SZ_G341.25+56.35,,
ComPACT_G341.29456.319,212.99167,-0.43333,22,0.9588934779167176,SZ_G341.25+56.35,,
ComPACT_G207.324-19.532,82.95833,-4.04167,25,0.9621408581733704,SZ_G207.31-19.51,,
ComPACT_G193.558-45.434,54.66667,-6.75833,31,0.9875438213348388,SZ_G193.50-45.41,,
ComPACT_G50.820-24.838,312.975,3.24167,33,0.9864304065704346,SZ_G050.80-24.81,ACT-CL J2051.8+0314,
ComPACT_G74.359-46.515,341.7,4.26667,32,0.9963018894195556,SZ_G074.44-46.47,,
ComPACT_G359.08958.775,218.60833,7.64167,26,0.8964933753013611,SZ_G359.03+58.82,,
ComPACT_G359.01058.882,218.5,7.68333,21,0.9765601754188538,SZ_G359.03+58.82,,
ComPACT_G193.080-82.406,20.7,-24.33333,36,0.9970894455909728,SZ_G193.30-82.34,ACT-CL J0122.7-2420,
ComPACT_G237.878-44.817,65.50833,-35.99167,23,0.9862194657325744,SZ_G237.89-44.82,,
ComPACT_G292.229-73.600,16.98333,-43.18333,22,0.9686766266822816,SZ_G292.12-73.63,ACT-CL J0107.9-4311,
ComPACT_G4.12958.325,220.65833,9.375,34,0.967888355255127,SZ_G004.17+58.33,ACT-CL J1442.5+0922,
ComPACT_G226.843-20.085,90.325,-20.95,26,0.9890584349632264,SZ_G226.87-20.07,,
ComPACT_G313.89766.567,197.20833,4.06667,31,0.9824658632278442,SZ_G313.94+66.61,ACT-CL J1308.7+0404,
ComPACT_G19.36155.900,227.225,15.1,26,0.9496235847473145,SZ_G019.47+55.87,,
ComPACT_G19.58455.854,227.325,15.19167,23,0.9482763409614564,SZ_G019.47+55.87,,
ComPACT_G241.788-72.304,31.68333,-34.4,24,0.9693205952644348,SZ_G241.65-72.27,,
ComPACT_G247.804-35.885,77.825,-42.80833,45,0.9976220726966858,SZ_G247.79-35.87,,
ComPACT_G15.96466.323,216.71667,18.25833,25,0.9255366325378418,SZ_G016.05+66.33,,
ComPACT_G2.17351.281,225.46667,4.075,48,0.9637629389762878,SZ_G002.14+51.26,,
ComPACT_G202.37725.856,122.34167,20.21667,33,0.97712242603302,SZ_G202.39+25.86,,
ComPACT_G350.20368.746,208.65,11.89167,74,0.999672532081604,SZ_G350.22+68.75,ACT-CL J1354.5+1153,
ComPACT_G23.03631.202,250.78333,6.05,35,0.9636952877044678,SZ_G022.98+31.19,,
ComPACT_G8.13344.075,233.625,2.80833,25,0.9868000745773317,SZ_G008.11+44.05,,
ComPACT_G22.22742.617,240.25833,10.78333,23,0.981336772441864,SZ_G022.18+42.63,,
ComPACT_G20.48720.723,258.85,-1.03333,22,0.9808995723724364,SZ_G020.46+20.74,,
ComPACT_G248.80557.732,167.06667,6.15,28,0.9535890817642212,SZ_G248.83+57.78,,
ComPACT_G113.502-64.129,8.75833,-1.55833,39,0.9653186798095704,SZ_G113.66-64.11,,
ComPACT_G348.68252.447,218.75,-0.975,29,0.9851765632629396,SZ_G348.71+52.46,,
ComPACT_G137.494-51.526,22.00833,10.30833,28,0.978383481502533,SZ_G137.40-51.57,,
ComPACT_G55.815-52.071,337.93333,-8.45,25,0.983824610710144,SZ_G055.86-52.01,,
ComPACT_G102.636-61.827,3.43333,-0.45,49,0.9889041781425476,SZ_G102.80-61.85,,
ComPACT_G208.069-16.387,86.08333,-3.225,26,0.932507574558258,SZ_G208.08-16.39,,
ComPACT_G180.136-21.769,67.23333,16.175,24,0.948439598083496,SZ_G180.13-21.76,,
ComPACT_G218.95143.496,144.75833,14.25,21,0.917051374912262,SZ_G218.93+43.56,,
ComPACT_G17.16447.179,234.45,9.79167,21,0.8218082785606384,SZ_G017.08+47.19,,
ComPACT_G175.622-28.469,59.2,14.88333,49,0.9981094598770142,SZ_G175.69-28.44,,
ComPACT_G53.991-60.563,344.66667,-13.88333,69,0.99957674741745,SZ_G054.05-60.60,ACT-CL J2258.6-1352,
ComPACT_G20.32451.937,231.15,13.84167,21,0.8718106150627136,SZ_G020.41+51.88,,
ComPACT_G177.376-67.054,31.825,-12.6,23,0.9594767093658448,SZ_G177.52-67.10,,
ComPACT_G25.25840.983,242.775,12.08333,31,0.9867976307868958,SZ_G025.22+41.04,,
ComPACT_G198.175-36.108,64.5,-4.90833,30,0.9714078307151794,SZ_G198.11-36.12,,
ComPACT_G355.982-59.756,340.31667,-41.55833,37,0.9285379648208618,SZ_G356.04-59.77,,
ComPACT_G168.154-56.194,36.13333,-1.725,91,0.9643224477767944,SZ_G168.06-56.18,,
