Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G227.06537.945,142.56667,6.25833,47,0.9999589920043944,SZ_G227.07+37.95,ACT-CL J0930.2+0615,,1
ComPACT_G241.788-24.030,91.45,-35.30833,80,0.9968165755271912,SZ_G241.79-24.03,ACT-CL J0605.7-3518,PSZ2 G241.79-24.01,1
ComPACT_G311.47270.952,195.66667,8.26667,66,0.906767725944519,SZ_G311.48+70.95,,,1
ComPACT_G229.021-30.733,80.11667,-26.425,36,0.9951868653297424,SZ_G229.02-30.73,ACT-CL J0520.4-2625,,1
ComPACT_G204.571-74.856,29.29167,-23.975,37,0.8661168217658997,SZ_G204.58-74.86,,,1
ComPACT_G256.842-46.030,62.775,-49.175,47,0.9881023168563844,SZ_G256.85-46.03,,,1
ComPACT_G207.930-36.469,67.85833,-12.04167,36,0.997484803199768,SZ_G207.93-36.47,ACT-CL J0431.3-1202,,1
ComPACT_G234.055-30.755,81.475,-30.58333,49,0.9978705644607544,SZ_G234.05-30.76,ACT-CL J0525.8-3035,PSZ2 G234.06-30.74,1
ComPACT_G185.202-53.643,44.775,-6.99167,72,0.9996886253356934,SZ_G185.20-53.64,ACT-CL J0259.0-0659,PSZ2 G185.16-53.63,1
ComPACT_G49.811-25.198,312.8,2.275,53,0.9980303645133972,SZ_G049.81-25.20,ACT-CL J2051.1+0215,PSZ2 G049.80-25.16,1
ComPACT_G229.13131.763,138.09167,1.65833,34,0.978501796722412,SZ_G229.13+31.76,,,1
ComPACT_G357.43569.490,209.975,14.24167,80,0.9998072981834412,SZ_G357.43+69.49,ACT-CL J1359.8+1414,PSZ2 G357.43+69.50,1
ComPACT_G182.442-28.290,63.35833,10.45833,91,0.997960329055786,SZ_G182.44-28.29,,PSZ2 G182.42-28.28,1
ComPACT_G48.279-51.618,335.08333,-12.19167,70,0.99977046251297,SZ_G048.27-51.62,ACT-CL J2220.2-1211,PSZ2 G048.24-51.59,1
ComPACT_G222.87966.021,167.51667,20.74167,23,0.8599751591682434,SZ_G222.88+66.02,,,3
ComPACT_G159.935-38.778,42.00833,15.575,36,0.990841507911682,SZ_G159.94-38.78,,,1
ComPACT_G216.03828.523,129.84167,10.1,25,0.9723842144012452,SZ_G216.04+28.52,ACT-CL J0839.3+1005,,3
ComPACT_G230.31825.796,133.55,-2.35,70,0.9998565912246704,SZ_G230.32+25.80,ACT-CL J0854.2-0220,,1
ComPACT_G101.102-80.807,9.26667,-18.55,28,0.9829913973808287,SZ_G101.08-80.81,,,2
ComPACT_G13.23139.812,239.29167,3.525,28,0.9367323517799376,SZ_G013.23+39.81,,,2
ComPACT_G250.880-36.264,77.575,-45.31667,62,0.9941229224205016,SZ_G250.88-36.26,ACT-CL J0510.3-4519,PSZ2 G250.89-36.24,1
ComPACT_G225.970-26.295,83.78333,-22.45833,64,0.9364517331123352,SZ_G225.97-26.30,,,1
ComPACT_G337.153-26.008,288.66667,-59.46667,76,0.9931252002716064,SZ_G337.15-26.01,ACT-CL J1914.6-5928,PSZ2 G337.14-25.98,1
ComPACT_G229.685-20.067,91.425,-23.41667,26,0.9753329753875732,SZ_G229.68-20.07,,,2
ComPACT_G87.026-81.424,7.51667,-20.08333,41,0.9839888215065002,SZ_G087.00-81.43,ACT-CL J0030.0-2004,PSZ2 G086.85-81.39,1
ComPACT_G200.216-26.844,73.40833,-1.78333,31,0.9611364006996156,SZ_G200.21-26.84,,,1
ComPACT_G356.246-31.348,301.45,-43.73333,43,0.9084182977676392,SZ_G356.24-31.34,,,1
ComPACT_G238.913-36.839,75.40833,-35.83333,26,0.8707482814788818,SZ_G238.91-36.84,,,2
ComPACT_G21.044-29.037,305.1,-22.43333,71,0.9997279047966005,SZ_G021.05-29.04,ACT-CL J2020.3-2226,PSZ2 G021.02-29.04,1
ComPACT_G19.55120.326,258.75833,-1.99167,25,0.9855948686599731,SZ_G019.56+20.32,,,3
ComPACT_G313.64468.072,196.85833,5.53333,33,0.9837130308151244,SZ_G313.63+68.07,,,1
ComPACT_G145.082-80.903,16.46667,-18.65833,50,0.9989895224571228,SZ_G145.06-80.90,ACT-CL J0105.8-1839,,1
ComPACT_G277.743-51.745,43.58333,-58.95,87,0.9982762336730956,SZ_G277.75-51.74,ACT-CL J0254.3-5857,PSZ2 G277.76-51.74,1
ComPACT_G40.813-60.650,341.80833,-19.73333,40,0.9659994840621948,SZ_G040.82-60.65,,,1
ComPACT_G0.561-47.455,323.525,-41.15833,51,0.9977133274078368,SZ_G000.57-47.46,ACT-CL J2134.0-4109,,1
ComPACT_G44.605-20.478,306.3,0.525,63,0.9988069534301758,SZ_G044.60-20.48,ACT-CL J2025.2+0031,PSZ2 G044.58-20.46,1
ComPACT_G61.476-54.126,341.625,-6.90833,41,0.9966088533401488,SZ_G061.49-54.12,ACT-CL J2246.4-0653,,1
ComPACT_G53.801-63.031,346.80833,-15.225,40,0.9908531308174132,SZ_G053.81-63.03,,,1
ComPACT_G80.391-33.241,336.525,17.36667,65,0.9973838925361632,SZ_G080.40-33.24,ACT-CL J2226.0+1722,PSZ2 G080.41-33.24,1
ComPACT_G47.358-34.187,319.41667,-4.175,22,0.8627594709396362,SZ_G047.35-34.18,,,3
ComPACT_G73.874-40.246,337.18333,8.65833,47,0.9980600476264954,SZ_G073.87-40.25,ACT-CL J2228.6+0839,,1
ComPACT_G258.68564.451,175.175,7.84167,55,0.9816583395004272,SZ_G258.68+64.46,,,1
ComPACT_G305.275-71.993,11.83333,-45.11667,78,0.99689781665802,SZ_G305.25-71.99,ACT-CL J0047.2-4507,,1
ComPACT_G241.220-33.036,80.475,-37.025,28,0.9006138443946838,SZ_G241.22-33.04,,,2
ComPACT_G20.67147.498,235.31667,12.03333,25,0.9419212937355042,SZ_G020.67+47.50,,,3
ComPACT_G250.722-30.347,85.85833,-44.50833,27,0.9901662468910216,SZ_G250.73-30.35,ACT-CL J0543.4-4430,,2
ComPACT_G68.905-22.885,321.35,17.71667,47,0.9877532124519348,SZ_G068.91-22.89,ACT-CL J2125.3+1743,,1
ComPACT_G104.871-47.311,0.35833,13.8,32,0.9306561350822448,SZ_G104.86-47.31,,,1
ComPACT_G180.136-21.769,67.23333,16.175,24,0.948439598083496,SZ_G180.13-21.76,,,3
ComPACT_G350.20368.746,208.65,11.89167,74,0.999672532081604,SZ_G350.22+68.75,ACT-CL J1354.5+1153,,1
ComPACT_G165.574-54.265,36.16667,0.7,33,0.9614413976669312,SZ_G165.58-54.27,,,1
ComPACT_G237.293-62.219,44.10833,-35.06667,44,0.9957780838012696,SZ_G237.30-62.23,ACT-CL J0256.4-3504,,1
ComPACT_G247.24462.573,170.13333,10.0,22,0.8641881942749023,SZ_G247.25+62.58,,,3
ComPACT_G165.682-55.797,35.29167,-0.55833,35,0.9817618131637572,SZ_G165.69-55.80,,,1
ComPACT_G252.082-70.797,31.74167,-37.98333,41,0.9983329176902772,SZ_G252.10-70.79,ACT-CL J0206.9-3759,,1
ComPACT_G284.49872.002,187.16667,9.95,49,0.9987388253211976,SZ_G284.50+71.99,ACT-CL J1228.6+0956,,1
ComPACT_G150.914-38.223,35.89167,19.59167,45,0.981714367866516,SZ_G150.91-38.23,,,1
ComPACT_G52.058-48.305,333.41667,-8.425,57,0.9996424913406372,SZ_G052.06-48.31,ACT-CL J2213.6-0825,,1
ComPACT_G286.50271.951,187.75833,9.73333,50,0.9991301894187928,SZ_G286.52+71.95,ACT-CL J1231.0+0943,,1
ComPACT_G107.703-58.329,4.91667,3.6,82,0.9999328851699828,SZ_G107.72-58.33,ACT-CL J0019.6+0336,PSZ2 G107.66-58.32,1
ComPACT_G31.179-64.851,344.88333,-25.10833,48,0.9910043478012084,SZ_G031.20-64.85,ACT-CL J2259.5-2506,,1
ComPACT_G159.904-73.512,22.975,-13.61667,90,0.9977241158485411,SZ_G159.91-73.52,ACT-CL J0131.8-1336,PSZ2 G159.91-73.50,1
ComPACT_G254.674-45.240,64.34167,-47.81667,64,0.9996250867843628,SZ_G254.66-45.24,ACT-CL J0417.3-4748,PSZ2 G254.64-45.20,1
ComPACT_G352.063-24.017,290.25833,-45.85,55,0.9988036155700684,SZ_G352.07-24.01,ACT-CL J1920.9-4550,PSZ2 G352.05-24.01,1
ComPACT_G89.982-43.946,349.18333,12.78333,68,0.9998844861984252,SZ_G089.98-43.95,ACT-CL J2316.7+1246,PSZ2 G089.99-43.91,1
ComPACT_G212.441-33.983,71.73333,-14.39167,21,0.9721046686172484,SZ_G212.43-33.98,,,3
ComPACT_G70.981-31.365,329.14167,13.35833,31,0.9049074649810792,SZ_G070.97-31.37,,,1
ComPACT_G69.830-34.198,330.55,10.7,47,0.9983077049255372,SZ_G069.83-34.21,ACT-CL J2202.2+1041,,1
ComPACT_G225.922-19.998,90.05833,-20.11667,57,0.999969482421875,SZ_G225.92-20.01,ACT-CL J0600.2-2007,PSZ2 G225.93-19.99,1
ComPACT_G252.962-41.358,70.23333,-46.96667,44,0.9968157410621644,SZ_G252.97-41.36,ACT-CL J0440.9-4658,PSZ2 G252.95-41.35,1
ComPACT_G6.77939.597,236.625,-0.66667,39,0.9041104316711426,SZ_G006.79+39.60,,,1
ComPACT_G226.190-56.796,50.65,-29.55833,34,0.9585121870040894,SZ_G226.19-56.80,,,1
ComPACT_G148.161-38.452,33.70833,20.3,22,0.983125627040863,SZ_G148.16-38.44,,,3
ComPACT_G72.656-68.144,355.825,-12.20833,21,0.984979808330536,SZ_G072.63-68.14,,,3
ComPACT_G226.72748.949,152.2,11.8,68,0.9998594522476196,SZ_G226.74+48.95,ACT-CL J1008.7+1147,PSZ2 G226.75+48.95,1
ComPACT_G3.929-59.418,338.61667,-37.74167,97,0.9993150234222412,SZ_G003.91-59.42,ACT-CL J2234.4-3744,PSZ2 G003.93-59.41,1
ComPACT_G2.82639.204,235.04167,-3.30833,67,0.9986051917076112,SZ_G002.83+39.21,ACT-CL J1540.1-0318,PSZ2 G002.82+39.23,1
ComPACT_G32.31337.034,248.78333,15.48333,77,0.9998660087585448,SZ_G032.32+37.03,ACT-CL J1635.1+1529,,1
ComPACT_G115.110-73.795,10.64167,-11.05833,52,0.9991525411605836,SZ_G115.14-73.80,ACT-CL J0042.5-1103,,1
ComPACT_G203.74022.002,119.05833,17.61667,54,0.9590837955474854,SZ_G203.73+22.00,,,1
ComPACT_G240.354-44.219,66.39167,-37.71667,70,0.999122679233551,SZ_G240.36-44.23,ACT-CL J0425.5-3742,,1
ComPACT_G50.468-55.557,339.25833,-12.96667,55,0.99503493309021,SZ_G050.45-55.56,ACT-CL J2236.9-1258,,1
ComPACT_G349.29969.600,207.825,12.31667,51,0.9970478415489196,SZ_G349.31+69.61,ACT-CL J1351.3+1218,,1
ComPACT_G155.506-60.182,28.39167,-1.3,66,0.9947230815887452,SZ_G155.50-60.17,ACT-CL J0153.5-0118,PSZ2 G155.46-60.15,1
ComPACT_G124.096-54.107,13.55,8.75833,32,0.9901031255722046,SZ_G124.08-54.10,ACT-CL J0054.1+0845,,1
ComPACT_G236.065-22.767,90.925,-29.925,22,0.9347137212753296,SZ_G236.07-22.77,ACT-CL J0603.6-2955,,3
ComPACT_G48.862-20.396,308.23333,4.01667,24,0.9899251461029052,SZ_G048.87-20.40,,,3
ComPACT_G7.45358.579,221.5,10.925,57,0.996994137763977,SZ_G007.46+58.59,ACT-CL J1446.0+1055,,1
ComPACT_G249.31559.400,168.46667,7.10833,32,0.8757745027542114,SZ_G249.30+59.39,,,1
ComPACT_G258.562-22.629,99.175,-49.7,45,0.9970130920410156,SZ_G258.55-22.63,ACT-CL J0636.6-4942,,1
ComPACT_G254.92255.888,168.2,2.5,56,0.9981980919837952,SZ_G254.92+55.90,ACT-CL J1112.8+0229,PSZ2 G254.96+55.88,1
ComPACT_G18.547-25.707,300.88333,-23.39167,85,0.9987493753433228,SZ_G018.54-25.72,ACT-CL J2003.5-2323,PSZ2 G018.54-25.69,1
ComPACT_G270.915-58.795,38.95,-51.35,77,0.9960232973098756,SZ_G270.90-58.80,ACT-CL J0235.7-5120,PSZ2 G270.93-58.78,1
ComPACT_G86.787-61.180,356.31667,-3.04167,66,0.999496340751648,SZ_G086.79-61.19,ACT-CL J2345.2-0302,PSZ2 G086.73-61.16,1
ComPACT_G0.008-27.126,296.78333,-39.675,48,0.998390793800354,SZ_G000.00-27.13,,,1
ComPACT_G110.995-55.628,6.10833,6.61667,40,0.993536412715912,SZ_G110.98-55.63,,,1
ComPACT_G320.789-62.758,359.53333,-52.48333,27,0.9881118535995485,SZ_G320.79-62.77,,,2
ComPACT_G228.85734.527,140.34167,3.28333,75,0.9996028542518616,SZ_G228.87+34.52,ACT-CL J0921.3+0317,,1
ComPACT_G98.395-67.636,3.70833,-6.525,48,0.9821323156356812,SZ_G098.37-67.63,,,1
ComPACT_G359.635-75.235,357.89167,-34.43333,36,0.9139018058776855,SZ_G359.65-75.23,,,1
ComPACT_G198.599-19.692,78.85833,3.08333,74,0.9962432384490968,SZ_G198.59-19.69,,,1
ComPACT_G155.106-49.985,33.075,7.76667,76,0.9997901320457458,SZ_G155.11-49.99,ACT-CL J0212.2+0746,PSZ2 G155.10-49.97,1
ComPACT_G217.526-66.372,39.375,-26.50833,64,0.9971603155136108,SZ_G217.55-66.37,ACT-CL J0237.4-2630,,1
ComPACT_G240.52845.074,154.09167,1.81667,28,0.9908344745635986,SZ_G240.54+45.07,,,2
ComPACT_G223.902-60.101,46.75833,-28.66667,73,0.9997572302818298,SZ_G223.92-60.10,ACT-CL J0307.0-2840,PSZ2 G223.93-60.10,1
ComPACT_G280.697-52.390,40.15833,-59.76667,75,0.9977073669433594,SZ_G280.71-52.39,ACT-CL J0240.6-5946,,1
ComPACT_G356.992-63.533,344.81667,-39.86667,71,0.998691976070404,SZ_G356.98-63.54,ACT-CL J2259.2-3951,,1
ComPACT_G334.064-44.744,326.425,-59.55,21,0.9098801016807556,SZ_G334.05-44.75,,,3
ComPACT_G41.379-66.976,348.26667,-21.625,35,0.9916064739227296,SZ_G041.40-66.98,,,1
ComPACT_G6.605-46.164,321.81667,-37.03333,42,0.9969531297683716,SZ_G006.61-46.15,,,1
ComPACT_G259.498-73.415,27.36667,-38.425,68,0.9966644644737244,SZ_G259.50-73.40,ACT-CL J0149.4-3825,,1
ComPACT_G290.388-57.375,25.8,-58.475,37,0.9864020943641664,SZ_G290.41-57.38,,,1
ComPACT_G347.200-27.369,293.74167,-50.85833,77,0.9960965514183044,SZ_G347.19-27.36,ACT-CL J1934.9-5050,PSZ2 G347.17-27.36,1
ComPACT_G37.732-46.901,327.65,-16.38333,34,0.9841455817222596,SZ_G037.72-46.89,ACT-CL J2150.5-1622,PSZ2 G037.69-46.87,1
ComPACT_G41.454-48.368,330.08333,-14.66667,24,0.9889785647392272,SZ_G041.47-48.36,,,3
ComPACT_G225.450-24.706,85.20833,-21.45833,45,0.9981181621551514,SZ_G225.46-24.71,ACT-CL J0540.8-2127,,1
ComPACT_G138.315-57.443,21.09167,4.44167,52,0.992673933506012,SZ_G138.30-57.45,ACT-CL J0124.3+0426,,1
ComPACT_G239.65853.922,160.80833,7.63333,56,0.9963388442993164,SZ_G239.66+53.93,ACT-CL J1043.2+0737,,1
ComPACT_G112.746-47.535,5.76667,14.775,58,0.9988781809806824,SZ_G112.76-47.53,ACT-CL J0023.0+1446,,1
ComPACT_G227.59754.878,157.84167,14.08333,69,0.999581515789032,SZ_G227.59+54.87,ACT-CL J1031.3+1405,PSZ2 G227.61+54.87,1
ComPACT_G241.631-37.017,75.59167,-38.00833,25,0.9779472947120668,SZ_G241.63-37.03,,,3
ComPACT_G256.33476.665,182.73333,17.61667,55,0.9997075200080872,SZ_G256.31+76.68,ACT-CL J1210.9+1736,,1
ComPACT_G253.25546.851,161.36667,-3.50833,66,0.9966062307357788,SZ_G253.24+46.84,,,1
ComPACT_G194.167-15.105,80.63333,9.06667,29,0.984226644039154,SZ_G194.17-15.09,,,2
ComPACT_G80.299-77.297,3.875,-17.50833,64,0.9995030164718628,SZ_G080.35-77.30,ACT-CL J0015.4-1730,,1
ComPACT_G73.373-80.039,4.78333,-20.44167,70,0.9978551268577576,SZ_G073.38-80.03,ACT-CL J0019.1-2026,PSZ2 G073.38-80.01,1
ComPACT_G102.918-62.395,3.73333,-0.95,77,0.9999321699142456,SZ_G102.89-62.39,ACT-CL J0014.9-0057,,1
ComPACT_G171.250-26.037,58.2,19.36667,69,0.9990262985229492,SZ_G171.25-26.05,,PSZ2 G171.22-26.03,1
ComPACT_G275.575-49.082,49.325,-59.575,40,0.977957010269165,SZ_G275.57-49.09,ACT-CL J0317.2-5935,PSZ2 G275.64-49.09,1
ComPACT_G224.536-30.291,79.25,-22.61667,37,0.993937849998474,SZ_G224.54-30.30,ACT-CL J0516.9-2237,PSZ2 G224.53-30.27,1
ComPACT_G89.367-46.158,349.925,10.65,33,0.9760855436325072,SZ_G089.35-46.15,,,1
ComPACT_G206.064-18.769,83.08333,-2.63333,36,0.9112817049026488,SZ_G206.06-18.78,,,1
ComPACT_G211.62832.195,131.675,15.075,38,0.988535463809967,SZ_G211.64+32.20,,,1
ComPACT_G212.614-49.708,56.4,-20.15833,33,0.9714760184288024,SZ_G212.63-49.70,,,1
ComPACT_G44.744-51.295,333.75,-14.0,76,0.999526858329773,SZ_G044.76-51.30,ACT-CL J2214.9-1359,PSZ2 G044.77-51.30,1
ComPACT_G148.755-56.410,26.83333,3.63333,21,0.859057605266571,SZ_G148.75-56.40,,,3
ComPACT_G325.969-59.477,353.10833,-53.975,80,0.9949536919593812,SZ_G325.97-59.46,ACT-CL J2332.4-5358,PSZ2 G325.99-59.48,1
ComPACT_G225.603-31.242,78.59167,-23.79167,24,0.9534468054771424,SZ_G225.62-31.24,,,3
ComPACT_G6.89371.179,210.58333,17.79167,33,0.9947739243507384,SZ_G006.86+71.18,ACT-CL J1402.3+1747,,1
ComPACT_G133.931-42.758,21.4,19.38333,33,0.9853277206420898,SZ_G133.95-42.76,ACT-CL J0125.5+1923,PSZ2 G133.92-42.73,1
ComPACT_G283.384-64.942,25.65,-50.2,26,0.9940137267112732,SZ_G283.36-64.95,,,2
ComPACT_G261.462-30.968,86.65833,-53.75,61,0.9988527297973632,SZ_G261.47-30.97,ACT-CL J0546.6-5345,,1
ComPACT_G198.159-26.247,73.0,0.10833,58,0.9993047714233398,SZ_G198.15-26.26,ACT-CL J0451.9+0006,,1
ComPACT_G206.443-30.446,72.81667,-8.3,44,0.9724632501602172,SZ_G206.46-30.45,ACT-CL J0451.2-0818,,1
ComPACT_G236.936-26.640,86.91667,-31.875,67,0.998889148235321,SZ_G236.93-26.65,ACT-CL J0547.6-3152,PSZ2 G236.92-26.65,1
ComPACT_G13.22843.970,235.78333,5.775,26,0.9817636609077454,SZ_G013.24+43.98,ACT-CL J1543.1+0546,,2
ComPACT_G69.020-44.218,337.4,3.30833,37,0.9830793142318726,SZ_G069.03-44.23,ACT-CL J2229.5+0318,,1
ComPACT_G346.435-29.251,296.55,-51.81667,37,0.974743127822876,SZ_G346.42-29.25,ACT-CL J1946.1-5148,,1
ComPACT_G224.00669.319,170.99167,21.48333,49,0.9731094241142272,SZ_G224.00+69.31,,PSZ2 G224.00+69.33,1
ComPACT_G212.954-54.023,52.06667,-21.66667,52,0.9988911747932434,SZ_G212.97-54.03,ACT-CL J0328.2-2140,PSZ2 G212.93-54.04,1
ComPACT_G136.782-46.084,22.79167,15.71667,58,0.9929106831550598,SZ_G136.80-46.08,ACT-CL J0131.1+1543,,1
ComPACT_G170.385-70.273,27.65,-13.06667,21,0.9296669363975524,SZ_G170.41-70.28,,,3
ComPACT_G18.091-36.412,312.03333,-27.00833,36,0.980659544467926,SZ_G018.08-36.42,,PSZ2 G018.06-36.38,1
ComPACT_G2.754-56.172,334.66667,-38.89167,56,0.995564103126526,SZ_G002.75-56.18,ACT-CL J2218.6-3853,PSZ2 G002.77-56.16,1
ComPACT_G193.760-76.955,26.175,-22.225,65,0.9978267550468444,SZ_G193.82-76.95,ACT-CL J0144.6-2213,,1
ComPACT_G219.89122.800,126.25,4.43333,45,0.9810505509376526,SZ_G219.88+22.79,ACT-CL J0824.9+0426,PSZ2 G219.88+22.83,1
ComPACT_G263.032-56.207,46.06667,-49.35,73,0.999248206615448,SZ_G263.06-56.21,ACT-CL J0304.2-4921,PSZ2 G263.03-56.19,1
ComPACT_G55.622-37.764,326.025,-0.45,34,0.9870674014091492,SZ_G055.63-37.76,ACT-CL J2144.0-0027,,1
ComPACT_G219.15344.457,145.725,14.50833,74,0.995594561100006,SZ_G219.14+44.45,ACT-CL J0942.8+1430,PSZ2 G219.12+44.49,1
ComPACT_G21.09133.233,248.2,5.575,79,0.9999542236328124,SZ_G021.09+33.22,ACT-CL J1632.7+0534,PSZ2 G021.10+33.24,1
ComPACT_G277.06561.907,181.0,1.44167,43,0.9946150183677672,SZ_G277.06+61.92,ACT-CL J1203.9+0126,,1
ComPACT_G310.635-81.191,11.40833,-35.85,23,0.9438231587409972,SZ_G310.56-81.20,,,3
ComPACT_G268.361-64.486,33.71667,-46.65,75,0.9972720742225648,SZ_G268.33-64.48,ACT-CL J0214.8-4639,,1
ComPACT_G7.52960.636,219.8,12.13333,80,0.9992169141769408,SZ_G007.54+60.62,ACT-CL J1439.1+1208,,1
ComPACT_G15.86445.082,235.825,7.95833,80,0.999716341495514,SZ_G015.85+45.09,ACT-CL J1543.2+0757,,1
ComPACT_G9.405-56.944,335.14167,-35.16667,72,0.9987781643867492,SZ_G009.43-56.95,ACT-CL J2220.5-3509,PSZ2 G009.45-56.93,1
ComPACT_G86.878-46.917,348.83333,9.11667,29,0.9950441122055054,SZ_G086.90-46.92,ACT-CL J2315.3+0906,,2
ComPACT_G253.10757.482,168.53333,4.35,48,0.9955496788024902,SZ_G253.12+57.47,ACT-CL J1114.1+0420,PSZ2 G253.13+57.49,1
ComPACT_G214.607-22.697,83.10833,-11.53333,66,0.9979277849197388,SZ_G214.61-22.71,,PSZ2 G214.61-22.70,1
ComPACT_G237.400-21.342,92.95833,-30.61667,60,0.9993034601211548,SZ_G237.41-21.34,,PSZ2 G237.41-21.34,1
ComPACT_G8.284-64.763,344.7,-34.8,89,0.9964137673377992,SZ_G008.25-64.76,ACT-CL J2258.8-3447,PSZ2 G008.31-64.74,1
ComPACT_G208.069-16.387,86.08333,-3.225,26,0.932507574558258,SZ_G208.08-16.39,,,2
ComPACT_G237.879-44.810,65.51667,-35.99167,23,0.9862194657325744,SZ_G237.89-44.82,,,3
ComPACT_G99.597-58.648,0.95833,2.05,40,0.990349054336548,SZ_G099.59-58.64,ACT-CL J0003.8+0203,PSZ2 G099.57-58.64,1
ComPACT_G341.277-69.967,356.275,-41.875,33,0.895722508430481,SZ_G341.27-69.98,,,1
ComPACT_G130.860-50.160,18.05,12.39167,51,0.9974150657653807,SZ_G130.84-50.16,ACT-CL J0112.1+1223,,1
ComPACT_G32.97545.304,240.9,18.94167,25,0.908652365207672,SZ_G032.97+45.32,,,3
ComPACT_G29.09244.513,240.63333,16.09167,28,0.9613291621208192,SZ_G029.08+44.52,,PSZ2 G029.06+44.55,2
ComPACT_G265.047-27.416,93.45,-56.45833,47,0.9959371089935304,SZ_G265.06-27.41,ACT-CL J0613.7-5627,,1
ComPACT_G262.412-25.183,96.55,-53.73333,51,0.94390869140625,SZ_G262.40-25.18,,PSZ2 G262.36-25.15,1
ComPACT_G198.91118.149,113.44167,20.3,68,0.9974194765090942,SZ_G198.90+18.15,,PSZ2 G198.90+18.16,1
ComPACT_G224.32861.342,163.15833,18.40833,43,0.9351017475128174,SZ_G224.31+61.33,,,1
ComPACT_G162.809-35.582,45.875,16.86667,60,0.9981108903884888,SZ_G162.82-35.57,,,1
ComPACT_G6.73949.783,228.45,5.425,57,0.9996730089187622,SZ_G006.76+49.78,ACT-CL J1513.7+0525,,1
ComPACT_G255.482-46.922,61.725,-48.08333,50,0.9984498023986816,SZ_G255.46-46.92,ACT-CL J0406.8-4804,,1
ComPACT_G80.965-40.993,341.85,11.55833,50,0.9983519315719604,SZ_G080.95-40.99,,,1
ComPACT_G187.908-75.028,27.29167,-20.075,35,0.9934053421020508,SZ_G187.92-75.04,ACT-CL J0149.1-2004,,1
ComPACT_G343.43776.427,202.00833,16.525,25,0.9588999152183532,SZ_G343.38+76.42,,,3
ComPACT_G21.803-49.133,326.65,-27.20833,34,0.991062879562378,SZ_G021.82-49.14,,,1
ComPACT_G178.243-31.659,58.35,11.05833,49,0.9985356330871582,SZ_G178.24-31.67,ACT-CL J0353.3+1103,,1
ComPACT_G354.829-22.446,289.11667,-42.975,36,0.9958699345588684,SZ_G354.81-22.45,,,1
ComPACT_G153.133-52.954,30.59167,5.70833,25,0.9090840220451356,SZ_G153.15-52.95,,,3
ComPACT_G321.41856.504,202.975,-4.90833,21,0.9526640176773072,SZ_G321.42+56.52,,,3
ComPACT_G204.749-65.892,38.59167,-21.375,29,0.9826985001564026,SZ_G204.78-65.88,ACT-CL J0234.3-2122,,2
ComPACT_G48.901-25.562,312.68333,1.38333,57,0.9989016056060792,SZ_G048.91-25.55,ACT-CL J2050.7+0122,PSZ2 G048.91-25.55,1
ComPACT_G239.89234.363,145.30833,-4.34167,36,0.9280645847320556,SZ_G239.88+34.36,,,1
ComPACT_G359.030-70.608,352.80833,-36.50833,38,0.9926019310951232,SZ_G358.99-70.61,ACT-CL J2331.2-3630,PSZ2 G358.94-70.57,1
ComPACT_G94.196-38.888,349.58333,18.73333,51,0.9919666647911072,SZ_G094.20-38.87,ACT-CL J2318.3+1844,,1
ComPACT_G207.061-15.630,86.30833,-2.01667,24,0.8905417919158936,SZ_G207.05-15.64,,,3
ComPACT_G98.299-41.174,353.6,17.98333,69,0.9995781779289246,SZ_G098.31-41.19,ACT-CL J2334.3+1759,PSZ2 G098.30-41.15,1
ComPACT_G57.183-74.455,357.79167,-19.95833,50,0.9868594408035278,SZ_G057.15-74.47,ACT-CL J2351.1-1957,PSZ2 G057.08-74.45,1
ComPACT_G284.60570.847,186.86667,8.83333,39,0.9953144788742064,SZ_G284.62+70.86,ACT-CL J1227.4+0849,PSZ2 G284.59+70.84,1
ComPACT_G59.448-20.574,313.85833,12.225,37,0.995241403579712,SZ_G059.44-20.58,ACT-CL J2055.4+1213,,1
ComPACT_G109.953-70.295,8.475,-7.86667,73,0.999477207660675,SZ_G109.96-70.28,ACT-CL J0033.8-0751,PSZ2 G109.99-70.28,1
ComPACT_G210.583-68.227,36.83333,-24.2,38,0.992642104625702,SZ_G210.55-68.24,ACT-CL J0227.3-2411,,1
ComPACT_G227.966-22.361,88.46667,-22.76667,31,0.9963077306747437,SZ_G227.97-22.35,ACT-CL J0553.8-2246,,1
ComPACT_G336.990-30.151,296.81667,-60.06667,29,0.970240354537964,SZ_G336.97-30.15,,,2
ComPACT_G329.814-74.568,3.74167,-40.6,60,0.999842405319214,SZ_G329.84-74.58,ACT-CL J0014.9-4036,,1
ComPACT_G5.623-69.156,350.2,-34.85,27,0.9461507797241212,SZ_G005.60-69.14,,,2
ComPACT_G264.520-51.051,52.73333,-52.46667,91,0.9979435801506042,SZ_G264.54-51.06,ACT-CL J0330.9-5228,PSZ2 G264.60-51.07,1
ComPACT_G203.89827.776,124.76667,19.64167,72,0.9785041213035583,SZ_G203.88+27.78,ACT-CL J0819.0+1938,,1
ComPACT_G16.78051.848,230.18333,11.86667,81,0.9995478987693788,SZ_G016.77+51.84,ACT-CL J1520.7+1152,,1
ComPACT_G161.970-32.943,46.94167,19.4,33,0.991319477558136,SZ_G161.96-32.93,,,1
ComPACT_G342.573-50.975,332.35833,-51.79167,40,0.9926645159721376,SZ_G342.56-50.99,ACT-CL J2209.3-5147,PSZ2 G342.51-50.97,1
