Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G333.47273.166,201.525,12.38333,55,0.998458743095398,SZ_G333.37+73.15,ACT-CL J1326.0+1223,PSZ2 G333.59+73.19,1
ComPACT_G233.490-51.561,57.10833,-33.46667,32,0.979869306087494,SZ_G233.48-51.59,ACT-CL J0348.3-3328,,1
ComPACT_G230.99328.160,135.875,-1.60833,40,0.9914734363555908,SZ_G230.95+28.16,ACT-CL J0903.4-0136,,1
ComPACT_G283.88981.188,189.83333,18.76667,58,0.9974178075790404,SZ_G283.68+81.20,ACT-CL J1239.3+1846,,1
ComPACT_G214.193-35.334,71.01667,-16.24167,24,0.9913613200187684,SZ_G214.23-35.34,,,3
ComPACT_G317.49259.934,200.1,-2.11667,27,0.8545123934745789,SZ_G317.56+59.94,,PSZ2 G317.52+59.94,2
ComPACT_G201.84823.546,119.86667,19.81667,21,0.8304373621940613,SZ_G201.88+23.54,,,3
ComPACT_G141.134-43.383,26.63333,17.53333,22,0.9710839986801147,SZ_G141.10-43.41,,,3
ComPACT_G170.827-65.748,30.875,-9.825,64,0.9990000128746032,SZ_G170.90-65.77,ACT-CL J0203.4-0949,,1
ComPACT_G41.41829.106,259.45,19.66667,64,0.9409812688827516,SZ_G041.44+29.08,,PSZ2 G041.45+29.10,1
ComPACT_G14.17547.016,233.54167,7.95833,26,0.9256097078323364,SZ_G014.22+47.01,,,2
ComPACT_G0.743-35.704,307.975,-40.625,77,0.99983549118042,SZ_G000.77-35.73,ACT-CL J2031.8-4037,PSZ2 G000.77-35.69,1
ComPACT_G187.005-70.294,31.38333,-17.34167,46,0.998856782913208,SZ_G186.98-70.33,ACT-CL J0205.5-1720,,1
ComPACT_G27.38138.099,246.15833,12.33333,47,0.997115969657898,SZ_G027.42+38.09,ACT-CL J1624.6+1220,,1
ComPACT_G156.934-42.117,38.16667,13.975,22,0.9879202842712402,SZ_G156.91-42.09,,,3
ComPACT_G248.836-29.997,85.94167,-42.84167,39,0.9940429329872132,SZ_G248.80-30.00,ACT-CL J0543.7-4250,,1
ComPACT_G21.822-29.450,305.76667,-21.93333,29,0.9489961862564088,SZ_G021.84-29.42,,,2
ComPACT_G78.697-56.091,349.95,-1.3,30,0.9901037216186525,SZ_G078.66-56.06,ACT-CL J2319.7-0117,,2
ComPACT_G340.39775.207,202.11667,15.1,71,0.9980886578559875,SZ_G340.32+75.18,ACT-CL J1328.5+1504,,1
ComPACT_G161.027-53.245,34.55833,3.08333,30,0.9718825817108154,SZ_G161.04-53.21,,,2
ComPACT_G26.20240.034,243.96667,12.325,39,0.8449526429176331,SZ_G026.24+40.06,,,1
ComPACT_G278.64574.082,186.225,12.475,42,0.9913153648376464,SZ_G278.60+74.05,,,1
ComPACT_G133.705-45.251,20.76667,16.95833,26,0.988884687423706,SZ_G133.75-45.24,,,2
ComPACT_G16.138-67.421,347.375,-31.31667,29,0.8612615466117859,SZ_G016.07-67.40,,,2
ComPACT_G7.037-52.353,329.55833,-36.75833,27,0.9240659475326538,SZ_G007.03-52.32,,,2
ComPACT_G231.62457.267,161.10833,13.25833,46,0.9856917262077332,SZ_G231.61+57.23,,,1
ComPACT_G15.96466.323,216.71667,18.25833,25,0.9255366325378418,SZ_G016.05+66.33,,,3
ComPACT_G270.093-20.012,109.06667,-59.16667,59,0.9986722469329834,SZ_G270.09-20.05,,PSZ2 G270.07-20.02,1
ComPACT_G356.09754.948,220.29167,3.83333,47,0.9031893610954284,SZ_G356.04+54.94,,,1
ComPACT_G215.78016.784,119.10833,5.125,59,0.99911230802536,SZ_G215.75+16.80,,,1
ComPACT_G50.812-24.842,312.975,3.23333,33,0.9864304065704346,SZ_G050.80-24.81,ACT-CL J2051.8+0314,,1
ComPACT_G162.541-72.208,24.39167,-12.98333,46,0.9959388971328736,SZ_G162.64-72.23,ACT-CL J0137.5-1259,,1
