Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G127.352-50.991,15.69999999999994,11.783333333333278,25,0.9506176710128784,SZ_G127.43-50.94,,
ComPACT_G9.35674.930,-152.41666666666603,20.34999999999993,23,0.9593599438667296,SZ_G009.20+74.88,,
ComPACT_G309.57861.508,-163.97499999999934,-1.2000000000000015,24,0.9289675951004028,SZ_G309.53+61.50,,
ComPACT_G229.912-69.226,36.23333333333319,-31.233333333333213,22,0.9126712679862976,SZ_G229.88-69.26,,
ComPACT_G8.293-75.009,-3.316666666666647,-32.44166666666654,36,0.9227193593978882,SZ_G008.60-75.02,,
ComPACT_G22.309-57.138,-24.36666666666661,-28.16666666666655,32,0.990799069404602,SZ_G022.34-57.21,,
ComPACT_G102.179-58.674,2.233333333333313,2.4749999999999988,36,0.8823339939117432,SZ_G102.25-58.66,,
ComPACT_G24.884-44.819,-37.49166666666643,-24.19166666666657,26,0.985484778881073,SZ_G024.78-44.82,,
ComPACT_G186.198-56.589,42.74166666666651,-9.216666666666637,22,0.9649459719657898,SZ_G186.08-56.54,,
ComPACT_G201.484-60.368,43.49166666666649,-17.999999999999922,30,0.9510229229927064,SZ_G201.38-60.39,,
ComPACT_G155.973-60.550,28.41666666666656,-1.7333333333333187,71,0.999392867088318,SZ_G156.12-60.53,ACT-CL J0153.6-0144,
ComPACT_G210.907-39.358,66.1166666666664,-15.358333333333286,23,0.9514999389648438,SZ_G210.98-39.38,,
ComPACT_G191.076-61.960,39.616666666666525,-14.283333333333276,40,0.9971725344657898,SZ_G191.16-61.99,ACT-CL J0238.4-1417,
ComPACT_G36.033-51.216,-28.549999999999905,-18.983333333333263,29,0.9743508100509644,SZ_G036.03-51.23,,
ComPACT_G251.205-40.080,72.14166666666637,-45.67499999999984,27,0.9770867228507996,SZ_G251.26-40.13,,
ComPACT_G335.990-24.040,-75.58333333333303,-60.1083333333331,21,0.992833137512207,SZ_G335.92-24.03,,
ComPACT_G342.89275.568,-157.56666666666607,15.75833333333326,40,0.9584853053092957,SZ_G342.93+75.57,,
ComPACT_G246.81048.143,159.21666666666607,0.49166666666667,24,0.9795936346054076,SZ_G246.78+48.12,,
ComPACT_G212.63826.893,127.04166666666616,12.141666666666609,39,0.965691328048706,SZ_G212.61+26.92,,
ComPACT_G223.47643.821,146.49999999999943,11.4333333333333,53,0.9329237937927246,SZ_G223.56+43.80,,
ComPACT_G218.183-48.325,58.96666666666644,-23.249999999999904,26,0.9753115773200988,SZ_G218.17-48.29,,
ComPACT_G256.61251.873,166.33333333333266,-1.191666666666652,27,0.9875182509422302,SZ_G256.50+51.91,,
ComPACT_G71.939-46.306,-19.6666666666666,3.2833333333333243,23,0.923638105392456,SZ_G071.98-46.35,,
ComPACT_G232.598-71.953,32.92499999999986,-31.75833333333321,23,0.9624543786048888,SZ_G232.78-71.95,,
ComPACT_G236.16133.677,142.92499999999947,-2.249999999999987,25,0.925856113433838,SZ_G236.18+33.60,,
ComPACT_G345.36075.515,-157.02499999999938,16.09166666666659,24,0.9225894808769226,SZ_G345.33+75.46,ACT-CL J1331.8+1605,
ComPACT_G275.966-64.476,30.14166666666656,-48.87499999999981,61,0.9981260895729064,SZ_G275.96-64.46,ACT-CL J0200.5-4852,
ComPACT_G229.693-19.980,91.5166666666663,-23.39166666666657,21,0.8824925422668457,SZ_G229.77-19.95,,
ComPACT_G253.30647.768,162.01666666666603,-2.858333333333325,23,0.9686773419380188,SZ_G253.33+47.80,,
ComPACT_G168.317-53.793,37.724999999999866,0.0749999999999953,24,0.9015790820121764,SZ_G168.29-53.86,,
ComPACT_G39.78517.099,-89.59999999999961,13.62499999999994,36,0.9873045086860656,SZ_G039.77+17.06,,
ComPACT_G158.150-73.945,22.308333333333238,-13.71666666666661,46,0.9987930059432985,SZ_G157.95-73.96,ACT-CL J0129.2-1343,
ComPACT_G99.103-46.878,-3.59999999999998,12.92499999999996,50,0.9544019103050232,SZ_G099.10-46.87,,
ComPACT_G147.654-59.812,24.999999999999897,0.7083333333333317,35,0.9719218611717224,SZ_G147.69-59.77,,
ComPACT_G95.134-53.874,-3.1749999999999807,5.4999999999999885,34,0.959257185459137,SZ_G095.11-53.81,,
ComPACT_G28.93239.819,-114.9416666666662,14.141666666666609,28,0.9203091859817504,SZ_G028.92+39.81,,
ComPACT_G143.002-51.390,25.399999999999896,9.516666666666618,27,0.8888565897941589,SZ_G143.02-51.45,,
ComPACT_G15.16327.057,-109.08333333333292,-1.9750000000000043,32,0.9828500151634216,SZ_G015.23+27.07,,
ComPACT_G16.223-57.900,-23.783333333333196,-31.483333333333224,33,0.971498429775238,SZ_G016.11-57.88,,
ComPACT_G23.544-51.416,-30.599999999999827,-26.5499999999999,30,0.9677926301956176,SZ_G023.52-51.38,,
ComPACT_G251.62459.495,169.366666666666,6.341666666666637,34,0.9950656294822692,SZ_G251.78+59.46,,
ComPACT_G109.613-57.780,5.783333333333322,4.3583333333333085,43,0.9984022974967957,SZ_G109.57-57.80,ACT-CL J0023.1+0421,
ComPACT_G233.92839.702,146.88333333333276,2.6333333333333138,25,0.8764128088951111,SZ_G233.88+39.72,,
ComPACT_G18.685-18.434,-66.36666666666645,-20.608333333333263,22,0.9401960968971252,SZ_G018.65-18.49,,
ComPACT_G247.64751.496,162.04999999999933,2.366666666666655,21,0.9576963782310486,SZ_G247.65+51.52,,
ComPACT_G12.00749.717,-129.54166666666617,8.1833333333333,21,0.8288705348968506,SZ_G012.12+49.73,,
ComPACT_G355.96656.796,-141.08333333333275,5.0749999999999895,27,0.9534780979156494,SZ_G356.01+56.83,,
ComPACT_G107.709-55.698,4.299999999999987,6.158333333333298,23,0.977194845676422,SZ_G107.62-55.71,,
ComPACT_G68.671-52.228,-16.98333333333321,-2.408333333333328,27,0.9875312447547911,SZ_G068.57-52.25,,
ComPACT_G236.34436.812,145.57499999999942,-0.5666666666666653,48,0.9486446976661682,SZ_G236.40+36.80,,
